geog,Population_2010,Population-Aged-60-and-Over_2010,Unemployed_2010,Labor-Force_2010,College-Graduates_2010,People-in-Poverty_2010,Vacant-Homes_2010,Owner-Occupied-Homes_2010,Renter-Occupied-Homes_2010,Total-Occupied-Homes_2010,Population_2015,Population-Aged-60-and-Over_2015,Unemployed_2015,Labor-Force_2015,College-Graduates_2015,People-in-Poverty_2015,Vacant-Homes_2015,Owner-Occupied-Homes_2015,Renter-Occupied-Homes_2015,Total-Occupied-Homes_2015,Population_2020,Population-Aged-60-and-Over_2020,Unemployed_2020,Labor-Force_2020,College-Graduates_2020,People-in-Poverty_2020,Vacant-Homes_2020,Owner-Occupied-Homes_2020,Renter-Occupied-Homes_2020,Total-Occupied-Homes_2020
17115002700,2480,434,65,1219,412,160,111,738,196,934,2263,502,98,1245,406,213,108,797,124,921,2397,547,40,1193,371,200,74,774,170,944
17115002602,1873,395,48,1009,331,109,117,690,96,786,2207,574,93,1158,373,156,67,728,148,876,1748,547,15,933,241,56,129,612,77,689
17115002601,3907,1151,92,2107,1067,123,106,1517,108,1625,4062,1383,106,2235,1032,88,140,1603,184,1787,4075,1441,118,1985,891,309,110,1612,143,1755
17115002500,6959,1345,227,3777,1825,198,74,2269,456,2725,7152,1744,179,3650,1972,236,177,2280,440,2720,7026,1872,134,3512,1281,436,195,2159,506,2665
17115002402,5167,1540,148,2482,1137,323,205,1742,430,2172,5431,1536,109,2755,1425,426,155,1675,533,2208,4825,1864,42,2356,1128,213,256,1860,442,2302
17115002401,2698,895,20,1404,700,145,77,1153,53,1206,2324,956,33,1281,602,76,71,1022,89,1111,2505,937,62,1389,600,122,0,1063,41,1104
17115002300,2859,572,101,1582,555,114,82,1025,29,1054,2916,788,88,1513,787,174,77,1065,85,1150,2807,798,97,1483,392,304,99,1029,82,1111
17115002200,5287,1295,203,2905,977,572,357,1962,280,2242,5392,1321,285,2588,968,648,156,1883,320,2203,4950,1552,147,2547,633,276,192,1829,218,2047
17115002100,1704,339,115,897,64,508,185,453,201,654,1702,228,135,685,112,717,146,345,302,647,1265,306,189,720,42,505,193,373,235,608
17115002002,2745,522,0,0,295,865,247,701,521,1222,2497,502,243,1084,337,876,378,599,473,1072,2558,625,208,1245,275,576,269,578,507,1085
17115002001,1632,922,0,0,228,229,192,113,508,621,1157,703,25,342,234,135,121,67,541,608,1134,688,44,351,232,271,49,84,591,675
17115001900,2655,512,69,1216,315,496,219,635,511,1146,2574,541,257,1205,257,1001,200,581,615,1196,2268,584,146,1115,184,547,175,538,611,1149
17115001802,2362,507,151,1309,236,227,100,807,249,1056,2816,476,294,1283,536,797,67,821,288,1109,1991,590,0,897,64,142,276,578,324,902
17115001801,2645,552,67,1333,847,35,35,921,102,1023,2448,709,71,1328,637,117,19,887,140,1027,2240,869,48,1047,523,182,85,825,154,979
